time/time_elapsed,time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,rollout/collision_rate,rollout/success_rate,rollout/ep_rew_mean,train/learning_rate,train/value_loss,train/clip_range,train/entropy_loss,train/explained_variance,train/loss,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/n_updates,eval/success_rate,eval/mean_reward,eval/mean_ep_length
201,299008,73,1483,69.95,0.26,0.7,9.45362377166748,0.0003,1.4727164551615715,0.2,-0.9164881769567728,0.5841289758682251,0.2533510625362396,-0.02406571267056279,0.06342001,0.3393798828125,720,,,
,300000,,,,,,,0.0003,2.5390516676008703,0.2,-0.9253990821540355,0.5109575986862183,1.0362735986709595,-0.023272539023309946,0.09113836,0.38203125,730,0.2,1.5231807231903076,149.0
207,303104,74,1459,77.6,0.28,0.61,8.433082580566406,,,,,,,,,,,,,
209,307200,75,1465,77.51,0.24,0.62,8.461357116699219,0.0003,2.0238808788359166,0.2,-0.9433408252894878,0.4949917197227478,0.55213862657547,-0.02360438338073436,0.080746666,0.363525390625,740,,,
211,311296,76,1470,73.61,0.26,0.63,8.489514350891113,0.0003,1.6565245848149062,0.2,-0.9699281986802817,0.5564342141151428,0.24060747027397156,-0.0218520094640553,0.08754618,0.391552734375,750,,,
213,315392,77,1475,79.11,0.31,0.58,7.850592136383057,0.0003,2.070168759673834,0.2,-0.9692736193537712,0.4819483160972595,0.4403380751609802,-0.022288751241285355,0.08211851,0.356298828125,760,,,
215,319488,78,1481,93.56,0.29,0.53,7.344674587249756,0.0003,1.5156872723251582,0.2,-0.9987107034772634,0.44862037897109985,0.30244049429893494,-0.018766077311011032,0.091808185,0.3731689453125,770,,,
217,323584,79,1486,95.56,0.27,0.57,7.901628017425537,0.0003,1.7136845802888274,0.2,-1.0246524326503277,0.43074244260787964,0.297781765460968,-0.02716105149302166,0.07784338,0.3751953125,780,,,
,325000,,,,,,,0.0003,1.4439009916037322,0.2,-0.9601417239755392,0.5813544988632202,0.26281553506851196,-0.027850593865150586,0.06976162,0.3578857421875,790,0.15,0.6515975594520569,173.55
224,327680,80,1459,102.88,0.19,0.6,8.302294731140137,,,,,,,,,,,,,
226,331776,81,1464,97.72,0.27,0.55,7.459386825561523,0.0003,1.3559725996106864,0.2,-0.9558585308492183,0.5782290101051331,0.2802015244960785,-0.03144972313893959,0.08216433,0.3807373046875,800,,,
228,335872,82,1469,91.39,0.35,0.5,6.705507755279541,0.0003,1.5346514264121651,0.2,-0.8910094026476145,0.5395357608795166,0.22932080924510956,-0.02518575183057692,0.08839394,0.342626953125,810,,,
230,339968,83,1474,91.49,0.33,0.49,6.576901435852051,0.0003,1.5712734896689653,0.2,-0.8236456222832202,0.4713819622993469,0.45200470089912415,-0.023809354318655097,0.061994024,0.2841064453125,820,,,
232,344064,84,1479,100.21,0.21,0.57,7.691215991973877,0.0003,0.9840237750671804,0.2,-0.914411063119769,0.628581702709198,0.1495925784111023,-0.030566663981880994,0.079647064,0.3552490234375,830,,,
234,348160,85,1484,98.86,0.19,0.57,7.733705997467041,0.0003,0.9355217574164272,0.2,-0.9358731586486101,0.6657205820083618,0.15456408262252808,-0.038644627208122985,0.08442236,0.3598388671875,840,,,
,350000,,,,,,,0.0003,1.3329993262887,0.2,-0.920782033726573,0.6170721054077148,0.28835809230804443,-0.028635923317051493,0.08159216,0.357861328125,850,0.05,-0.8300549387931824,183.4
241,352256,86,1458,99.42,0.19,0.59,8.041460990905762,,,,,,,,,,,,,
243,356352,87,1463,88.55,0.24,0.62,8.449337005615234,0.0003,1.2451293418183922,0.2,-0.9392004497349262,0.57310950756073,0.15604569017887115,-0.03036920736776665,0.057796255,0.3310791015625,860,,,
245,360448,88,1468,89.33,0.27,0.56,7.748134613037109,0.0003,1.6338586840778588,0.2,-0.9668258741497994,0.5658750534057617,0.29397380352020264,-0.02887649600743316,0.06423749,0.330419921875,870,,,
247,364544,89,1473,88.72,0.28,0.55,7.627266883850098,0.0003,1.6439729053527117,0.2,-0.9759699620306492,0.5468558073043823,0.30994388461112976,-0.022134383633965627,0.06652929,0.3474853515625,880,,,
249,368640,90,1478,94.97,0.2,0.62,8.553070068359375,0.0003,1.4018674075603486,0.2,-0.9966512363404035,0.49182623624801636,0.20848947763442993,-0.0324883560591843,0.07620452,0.39169921875,890,,,
251,372736,91,1482,94.43,0.17,0.67,9.20815658569336,0.0003,1.0219333035871387,0.2,-0.9150580525398254,0.6112475991249084,0.12661334872245789,-0.03105938787048217,0.084319085,0.356103515625,900,,,
,375000,,,,,,,0.0003,1.359410177357495,0.2,-0.9405034765601158,0.6258193254470825,0.2865171432495117,-0.03064431105158292,0.07915738,0.3640869140625,910,0.1,0.6007810235023499,153.6
257,376832,92,1463,102.47,0.2,0.63,8.730978965759277,,,,,,,,,,,,,
259,380928,93,1467,102.62,0.26,0.53,7.369975566864014,0.0003,1.2453771723434328,0.2,-0.9373570665717125,0.6412206888198853,0.24478881061077118,-0.026717477099737152,0.06759442,0.325341796875,920,,,
261,385024,94,1471,89.69,0.37,0.5,6.775397777557373,0.0003,1.4410166202113033,0.2,-0.9686840742826461,0.5850799679756165,0.24554088711738586,-0.02934924539877102,0.06293655,0.323876953125,930,,,
263,389120,95,1475,90.29,0.39,0.49,6.705511093139648,0.0003,2.062772194668651,0.2,-0.9418657276779413,0.5004596710205078,0.2630259692668915,-0.02582202454796061,0.079554975,0.3581787109375,940,,,
